COUNTRY,YEAR,PERCENTAGE_ACCESS_TO_ELECTRICITY,YEAR_2010_ACCESS_TO_ELECTRICITY,PERCENTAGE_CHANGE_FROM_2010_TO_2020,ROW_NUMBER
Algeria,2010,98.86,,,52
Algeria,2020,99.8,98.86,0.956109883042432,46
Angola,2010,34.9,,,52
Angola,2020,46.89,34.9,34.37384351591453,29
Benin,2010,34.2,,,52
Benin,2020,41.41,34.2,21.084669590643273,38
Botswana,2010,52.02,,,52
Botswana,2020,71.99,52.02,38.40413796974803,27
Burkina Faso,2010,13.1,,,52
Burkina Faso,2020,18.96,13.1,44.711755725190834,25
Burundi,2010,5.3,,,52
Burundi,2020,11.74,5.3,121.4255849056604,11
Cameroon,2010,52.76,,,52
Cameroon,2020,64.72,52.76,22.672317409191216,37
Cape Verde,2010,81.1,,,52
Cape Verde,2020,94.16,81.1,16.105721331689274,40
Central African Republic,2010,9.8,,,52
Central African Republic,2020,15.47,9.8,57.806979591836715,21
Chad,2010,6.4,,,52
Chad,2020,11.08,6.4,73.12682812499999,17
Comoros,2010,69.81,,,52
Comoros,2020,86.74,69.81,24.25151892248005,36
Congo,2010,39.79,,,52
Congo,2020,49.52,39.79,24.45040818203797,35
Cote d'Ivoire,2010,58.3,,,52
Cote d'Ivoire,2020,69.68,58.3,19.51520671829395,39
Democratic Republic of Congo,2010,12.74,,,52
Democratic Republic of Congo,2020,19.1,12.74,49.87385094425627,22
Egypt,2010,99.39,,,52
Egypt,2020,100.0,99.39,0.6091339773002056,48
Equatorial Guinea,2010,66.16,,,52
Equatorial Guinea,2020,66.75,66.16,0.8925172465941705,47
Eritrea,2010,40.18,,,52
Eritrea,2020,52.17,40.18,29.833365353412077,32
Eswatini,2010,45.55,,,52
Eswatini,2020,79.73,45.55,75.03053301018272,16
Ethiopia,2010,25.41,,,52
Ethiopia,2020,51.09,25.41,101.0787472633246,13
Gabon,2010,89.46,,,52
Gabon,2020,91.57,89.46,2.3583718265197735,44
Gambia,2010,46.66,,,52
Gambia,2020,62.27,46.66,33.474862875639985,31
Ghana,2010,64.2,,,52
Ghana,2020,85.87,64.2,33.759423676012446,30
Guinea,2010,27.96,,,52
Guinea,2020,44.67,27.96,59.78423518645122,20
Guinea-Bissau,2010,6.0,,,52
Guinea-Bissau,2020,33.34,6.0,455.5911666666667,1
Kenya,2010,19.2,,,52
Kenya,2020,71.44,19.2,272.0726041666667,5
Lesotho,2010,17.0,,,52
Lesotho,2020,47.35,17.0,178.54551176470588,7
Liberia,2010,5.16,,,52
Liberia,2020,27.53,5.16,433.3430156722951,2
Madagascar,2010,12.3,,,52
Madagascar,2020,33.74,12.3,174.26891869918694,8
Malawi,2010,8.7,,,52
Malawi,2020,14.87,8.7,70.8824022988506,18
Mali,2010,26.91,,,52
Mali,2020,50.56,26.91,87.87649770270194,14
Mauritania,2010,33.96,,,52
Mauritania,2020,47.35,33.96,39.426078375972075,26
Mauritius,2010,99.69,,,52
Mauritius,2020,99.66,99.69,-0.028438158290704393,50
Morocco,2010,92.67,,,52
Morocco,2020,100.0,92.67,7.908180497581887,42
Mozambique,2010,18.8,,,52
Mozambique,2020,30.6,18.8,62.762653264929114,19
Namibia,2010,44.61,,,52
Namibia,2020,56.26,44.61,26.1102097461425,33
Niger,2010,13.28,,,52
Niger,2020,19.25,13.28,44.996574277990575,24
Nigeria,2010,48.0,,,52
Nigeria,2020,55.4,48.0,15.416666666666664,41
Rwanda,2010,9.7,,,52
Rwanda,2020,46.6,9.7,380.4123711340207,4
Senegal,2010,56.5,,,52
Senegal,2020,70.37,56.5,24.54679646017698,34
Seychelles,2010,97.0,,,52
Seychelles,2020,100.0,97.0,3.0927835051546393,43
Sierra Leone,2010,11.46,,,52
Sierra Leone,2020,26.2,11.46,128.5856791727014,10
Somalia,2010,52.16,,,52
Somalia,2020,49.73,52.16,-4.663188298219749,51
South Africa,2010,82.9,,,52
South Africa,2020,84.39,82.9,1.7919662243667072,45
South Sudan,2010,1.5,,,52
South Sudan,2020,7.24,1.5,382.75588666666664,3
Sudan,2010,38.04,,,52
Sudan,2020,55.39,38.04,45.60995311854621,23
Tanzania,2010,14.8,,,52
Tanzania,2020,39.9,14.8,169.59459459459455,9
Togo,2010,30.79,,,52
Togo,2020,54.0,30.79,75.36334739597731,15
Tunisia,2010,99.5,,,52
Tunisia,2020,100.0,99.5,0.5025125628140703,49
Uganda,2010,12.1,,,52
Uganda,2020,42.07,12.1,247.72245454545453,6
Zambia,2010,22.0,,,52
Zambia,2020,44.52,22.0,102.38397727272728,12
Zimbabwe,2010,38.78,,,52
Zimbabwe,2020,52.75,38.78,36.00877198637015,28
